task_id,method_id,resolution,precision_class,platform,clean_runtime_ms_median,peak_process_gpu_memory_mib_median,power_energy_per_match_j_median,clean_runtime_status,memory_status,power_status,oom_status,power_scope,clean_runtime_valid_pair_count,memory_valid_pair_count,power_valid_pair_count
rubik_vis_vis_reference,superpoint-superglue,256,fp16,orin,83.5832675,98.1943941116333,0.2451821275952675,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-superglue,256,fp32,orin,78.7501915,116.1932897567749,0.3892528826191606,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-superglue,256,mp,orin,100.5665845,102.1934118270874,0.2886364231249323,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-superglue,512,fp16,orin,98.736291,204.1943635940552,0.525776596311004,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-superglue,512,fp32,orin,127.4303325,250.1932897567749,1.0229427426793274,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-superglue,512,mp,orin,116.0783075,212.1934118270874,0.6156980545852789,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-superglue,1024,fp16,orin,232.13838,614.1943635940552,1.887404789461698,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-superglue,1024,fp32,orin,414.7520115,726.1932592391968,3.944550805888,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
rubik_vis_vis_reference,superpoint-superglue,1024,mp,orin,343.05293,634.1934118270874,2.4152888997664004,valid,valid,valid,none,combined_cpu_gpu_cv_not_gpu_only_non_comparable,4,4,4
sthereo_day_night_thermal_thermal,dkm,128,fp32,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
sthereo_day_night_thermal_thermal,dkm,128,mp,orin,,,,OOM,OOM,OOM,confirmed,combined_cpu_gpu_cv_not_gpu_only_non_comparable,0,0,0
