task_id,method_id,resolution,precision_class,n_pairs,pose_valid,pose_auc_5,pose_auc_10,pose_auc_20,success_count_5,success_count_10,success_count_20
rubik_vis_vis_reference,superpoint-superglue,512,fp16,100,98,20.186358583906465,32.955863377497465,43.5602184474459,35,49,57
rubik_vis_vis_reference,superpoint-superglue,512,fp32,100,97,23.37697318277187,33.56157635734771,43.21455753676181,40,45,56
rubik_vis_vis_reference,superpoint-superglue,512,mp,100,97,18.95951112615928,29.87865193357274,41.06629129088661,38,45,57
rubik_vis_vis_reference,superpoint-superglue,1024,fp16,100,95,31.838140630742828,40.91496206964841,49.42097953402265,44,54,61
rubik_vis_vis_reference,superpoint-superglue,1024,fp32,100,97,29.87319037842355,39.158980789764,48.33543534552437,43,51,60
rubik_vis_vis_reference,superpoint-superglue,1024,mp,100,95,31.192255872443383,41.10679337454804,48.53855134054714,46,54,58
sthereo_day_night_thermal_thermal,dkm,128,fp32,100,100,2.449929010959755,4.9024279595874685,11.881367266843236,4,9,26
sthereo_day_night_thermal_thermal,dkm,128,mp,100,100,2.571176914875746,5.524219614192797,11.30956989861243,4,11,21
sthereo_day_night_thermal_thermal,dkm,256,fp32,100,100,10.86594115635421,20.291574783015257,30.398390547588576,21,35,45
sthereo_day_night_thermal_thermal,dkm,256,mp,100,100,10.130856531780282,20.47625679380777,31.06782243157308,22,37,46
sthereo_day_night_thermal_thermal,dkm,512,fp32,100,100,9.669036465440922,20.14183898660357,30.97903178843274,21,36,46
sthereo_day_night_thermal_thermal,dkm,512,mp,100,100,10.70450762822919,21.056262923149905,31.59274715370676,21,35,44
sthereo_day_night_thermal_thermal,dkm,1024,fp32,100,100,12.25623657369375,21.216059839238948,31.4888625403125,23,35,45
sthereo_day_night_thermal_thermal,dkm,1024,mp,100,100,9.836468291349773,20.490475206115608,31.01187629369113,20,39,44
sthereo_day_night_thermal_thermal,efficientloftr,128,fp16,100,100,2.5789883317901823,7.191957461768146,16.63796873734084,6,17,37
sthereo_day_night_thermal_thermal,efficientloftr,128,fp32,100,100,1.9105276884094355,5.163522141236674,13.789678359800089,4,12,37
sthereo_day_night_thermal_thermal,efficientloftr,128,mp,100,100,0.864043862896403,6.401875011155599,18.079560913985524,2,21,41
sthereo_day_night_thermal_thermal,efficientloftr,256,fp16,100,100,5.061579698353935,14.947081875671946,27.16193125735672,11,32,44
sthereo_day_night_thermal_thermal,efficientloftr,256,fp32,100,100,5.273827253947334,14.072561693827035,27.55376748718007,13,29,49
sthereo_day_night_thermal_thermal,efficientloftr,256,mp,100,100,6.957614603439774,15.9197654267844,28.00310953548817,16,30,47
sthereo_day_night_thermal_thermal,efficientloftr,512,fp16,100,100,9.348993775452591,17.41175585473362,25.89796672964704,18,30,36
sthereo_day_night_thermal_thermal,efficientloftr,512,fp32,100,100,9.379243834129172,19.555700802483365,27.73875703518164,22,35,36
sthereo_day_night_thermal_thermal,efficientloftr,512,mp,100,100,10.305130883072843,18.942700153670497,27.060966142868125,20,32,36
sthereo_day_night_thermal_thermal,efficientloftr,1024,fp16,100,100,5.764247051453587,9.315289984065933,14.404452730020434,11,15,26
sthereo_day_night_thermal_thermal,efficientloftr,1024,fp32,100,100,4.238328204966894,7.582054698008259,12.630546691249403,9,13,22
sthereo_day_night_thermal_thermal,efficientloftr,1024,mp,100,100,5.371614829850231,8.911571139712192,13.860445280415307,10,14,22
sthereo_day_night_thermal_thermal,loftr,128,fp16,100,98,0.6448441148767257,2.343710839921769,10.281272839505046,1,5,28
sthereo_day_night_thermal_thermal,loftr,128,fp32,100,97,0.0,1.89984063920915,8.80489793203715,0,6,24
sthereo_day_night_thermal_thermal,loftr,128,mp,100,98,0.6448380985698345,2.5931685174730665,10.328415556930311,1,6,28
sthereo_day_night_thermal_thermal,loftr,256,fp16,100,100,3.6412363493909528,9.399495670500803,21.131579964452506,8,22,38
sthereo_day_night_thermal_thermal,loftr,256,fp32,100,100,1.6338694608800748,6.73048850912618,16.97746979151615,6,16,36
sthereo_day_night_thermal_thermal,loftr,256,mp,100,100,3.429770606553194,9.782845875093882,21.05235205835859,8,22,39
sthereo_day_night_thermal_thermal,loftr,512,fp16,100,100,7.745696305384412,16.932941665017314,28.72857849101187,17,34,44
sthereo_day_night_thermal_thermal,loftr,512,fp32,100,100,7.795431395554271,15.99198139985698,28.09668346106803,17,32,43
sthereo_day_night_thermal_thermal,loftr,512,mp,100,100,8.244823921588976,16.293027511677753,26.30846285041899,17,30,39
sthereo_day_night_thermal_thermal,loftr,1024,fp16,100,99,7.02222786183742,15.684255000929909,24.412474520157552,19,28,37
sthereo_day_night_thermal_thermal,loftr,1024,fp32,100,100,5.7555613968028885,11.586141878816289,19.068945013772144,14,20,30
sthereo_day_night_thermal_thermal,loftr,1024,mp,100,100,5.545391098693623,11.22246168392134,17.80470860341477,13,19,30
sthereo_day_night_thermal_thermal,mast3r,128,fp32,100,100,0.0,0.0,0.6317725886119516,0,0,1
sthereo_day_night_thermal_thermal,mast3r,128,mp,100,100,0.0,0.6540706779524963,1.75745398615015,0,1,4
sthereo_day_night_thermal_thermal,mast3r,256,fp32,100,100,0.580047892651584,1.1962961328915684,3.6890617966524446,1,3,9
sthereo_day_night_thermal_thermal,mast3r,256,mp,100,100,0.7566624589650705,1.371099159251166,3.147520271216183,1,2,9
sthereo_day_night_thermal_thermal,mast3r,512,fp32,100,100,1.5882617949766662,3.1147413115989204,5.201253951897114,3,5,9
sthereo_day_night_thermal_thermal,mast3r,512,mp,100,100,1.5597911659607693,3.272418440620148,5.725007762831432,4,5,10
sthereo_day_night_thermal_thermal,mast3r,1024,fp32,100,100,0.8606433536535929,1.563189173262317,3.457365845721272,1,4,6
sthereo_day_night_thermal_thermal,mast3r,1024,mp,100,100,1.3006890027207478,2.3023454593057404,3.940877557268422,2,4,6
sthereo_day_night_thermal_thermal,matchanything-eloftr,128,fp16,100,93,0.0,1.658213794274966,6.273842937191282,0,5,17
sthereo_day_night_thermal_thermal,matchanything-eloftr,128,fp32,100,92,1.007783660240037,2.652343636192195,8.28335173884539,2,6,23
